country_code,country,period,foreign_arrivals,status,year,month,value_available,is_estimated,is_low_reliability,is_confidential,date,months_available,complete_12_month_year
AT,Austria,2021-01,39058.0,,2021,1,True,,,False,2021-01-01,12,True
AT,Austria,2021-02,43690.0,,2021,2,True,,,False,2021-02-01,12,True
AT,Austria,2021-03,54888.0,,2021,3,True,,,False,2021-03-01,12,True
AT,Austria,2021-04,57536.0,,2021,4,True,,,False,2021-04-01,12,True
AT,Austria,2021-05,312967.0,,2021,5,True,,,False,2021-05-01,12,True
AT,Austria,2021-06,918347.0,,2021,6,True,,,False,2021-06-01,12,True
AT,Austria,2021-07,2214022.0,,2021,7,True,,,False,2021-07-01,12,True
AT,Austria,2021-08,2894854.0,,2021,8,True,,,False,2021-08-01,12,True
AT,Austria,2021-09,1897910.0,,2021,9,True,,,False,2021-09-01,12,True
AT,Austria,2021-10,1322877.0,,2021,10,True,,,False,2021-10-01,12,True
AT,Austria,2021-11,488331.0,,2021,11,True,,,False,2021-11-01,12,True
AT,Austria,2021-12,853604.0,,2021,12,True,,,False,2021-12-01,12,True
AT,Austria,2022-01,1315950.0,,2022,1,True,,,False,2022-01-01,12,True
AT,Austria,2022-02,1783825.0,,2022,2,True,,,False,2022-02-01,12,True
AT,Austria,2022-03,1641977.0,,2022,3,True,,,False,2022-03-01,12,True
AT,Austria,2022-04,1251136.0,,2022,4,True,,,False,2022-04-01,12,True
AT,Austria,2022-05,1292392.0,,2022,5,True,,,False,2022-05-01,12,True
AT,Austria,2022-06,2152613.0,,2022,6,True,,,False,2022-06-01,12,True
AT,Austria,2022-07,3230062.0,,2022,7,True,,,False,2022-07-01,12,True
AT,Austria,2022-08,3345872.0,,2022,8,True,,,False,2022-08-01,12,True
AT,Austria,2022-09,2213755.0,,2022,9,True,,,False,2022-09-01,12,True
AT,Austria,2022-10,1567185.0,,2022,10,True,,,False,2022-10-01,12,True
AT,Austria,2022-11,969505.0,,2022,11,True,,,False,2022-11-01,12,True
AT,Austria,2022-12,2110061.0,,2022,12,True,,,False,2022-12-01,12,True
AT,Austria,2023-01,2233219.0,,2023,1,True,,,False,2023-01-01,12,True
AT,Austria,2023-02,2470134.0,,2023,2,True,,,False,2023-02-01,12,True
AT,Austria,2023-03,2033428.0,,2023,3,True,,,False,2023-03-01,12,True
AT,Austria,2023-04,1575648.0,,2023,4,True,,,False,2023-04-01,12,True
AT,Austria,2023-05,1703390.0,,2023,5,True,,,False,2023-05-01,12,True
AT,Austria,2023-06,2466592.0,,2023,6,True,,,False,2023-06-01,12,True
AT,Austria,2023-07,3516974.0,,2023,7,True,,,False,2023-07-01,12,True
AT,Austria,2023-08,3464494.0,,2023,8,True,,,False,2023-08-01,12,True
AT,Austria,2023-09,2567142.0,,2023,9,True,,,False,2023-09-01,12,True
AT,Austria,2023-10,1696261.0,,2023,10,True,,,False,2023-10-01,12,True
AT,Austria,2023-11,1112206.0,,2023,11,True,,,False,2023-11-01,12,True
AT,Austria,2023-12,2373325.0,,2023,12,True,,,False,2023-12-01,12,True
AT,Austria,2024-01,2358309.0,,2024,1,True,,,False,2024-01-01,12,True
AT,Austria,2024-02,2630802.0,,2024,2,True,,,False,2024-02-01,12,True
