source_market_code,source_market,market_type,foreign_nights,foreign_arrivals,avg_length_of_stay,published_market_share_pct,germany_foreign_nights_share_pct,nights_rank,growth_2023_2024_pct,absolute_growth_nights,major_market
NL,Netherlands,individual_country,11867612.0,5250119.0,2.2604462870270177,15.799683287736682,13.996040882606833,1,3.659705540210677,418986.0,True
US,United States,individual_country,7223819.0,3222927.0,2.2413846171508074,9.617271977541456,8.519394302118407,2,10.750401832885354,701207.0,True
CH_LI,Switzerland and Liechtenstein,combined_market,6897129.0,3315820.0,2.080067373982906,9.182340456922928,8.134113202943709,3,2.4147725163508653,162623.0,True
UK,United Kingdom,individual_country,5274041.0,2373132.0,2.222396815684926,7.021478073814519,6.219928107907862,4,10.880104513251897,517515.0,True
AT,Austria,individual_country,4360393.0,2131281.0,2.045902440832532,5.8051129755559945,5.142419443122396,5,4.927287852416226,204760.0,True
PL,Poland,individual_country,4167089.0,1471375.0,2.832105343641152,5.547761961868265,4.9144468158767936,6,0.15562606865236717,6475.0,True
FR,France,individual_country,3680328.0,1849028.0,1.9904122598467953,4.899723448574942,4.340386351475145,7,4.836640330707334,169792.0,True
IT,Italy,individual_country,3497676.0,1577424.0,2.21733408392417,4.656553739970408,4.124976135899348,8,4.6058345435796335,154004.0,True
DK,Denmark,individual_country,3051481.0,1529761.0,1.9947436233503142,4.062521875382008,3.598757090179388,9,1.866048066786354,55899.0,True
BE,Belgium,individual_country,3044527.0,1465552.0,2.0773926820747404,4.053263820974523,3.5905559062935604,10,3.558510294532826,104617.0,True
ES,Spain,individual_country,2720461.0,1123109.0,2.4222591039694277,3.6218257048376223,3.208369415476127,11,7.653031343883653,193397.0,True
CN,China,individual_country,1824786.0,841946.0,2.1673432737966567,2.4293885634191508,2.15205716685114,12,40.55281862631827,526494.0,True
SE,Sweden,individual_country,1483871.0,824983.0,1.7986685786252565,1.9755189030326505,1.7499998466847995,13,3.097501613643959,44582.0,True
CZ,Czechia,individual_country,1452153.0,653394.0,2.2224767904204814,1.9332918438298023,1.712593296427298,14,3.0868855636064967,43484.0,True
RO,Romania,individual_country,1392200.0,402210.0,3.4613758981626512,1.8534747405954128,1.6418878639413923,15,1.9689932814137672,26883.0,True
TR,Türkiye,individual_country,1225934.0,488285.0,2.5106935498735368,1.6321201714100682,1.4458024397307332,16,17.9459747566632,186531.0,True
HU,Hungary,individual_country,813454.0,287642.0,2.8280084271420725,1.0829740278956337,0.9593451016194379,17,11.632687789561514,84766.0,False
AU,Australia,individual_country,811695.0,336897.0,2.409326886259005,1.0806322220712496,0.9572706290201899,18,-1.176827241614832,-9666.0,False
NO,Norway,individual_country,717359.0,356183.0,2.0140180749783116,0.9550400707073587,0.8460156846639372,19,4.529379621871699,31084.0,False
CA,Canada,individual_country,703139.0,299612.0,2.3468319025940216,0.9361085875790246,0.8292453604107791,20,9.656094145241429,61917.0,False
JP,Japan,individual_country,695906.0,331949.0,2.09642445074394,0.9264790926797812,0.8207151385174534,21,11.579723738746322,72221.0,False
BR,Brazil,individual_country,661214.0,255589.0,2.5870205681778167,0.8802926642206977,0.7798012082086939,22,9.075222698779282,55014.0,False
SK,Slovakia,individual_country,644874.0,186241.0,3.4625780574631793,0.8585387658861703,0.7605306668376249,23,-2.183924085961485,-14398.0,False
LU,Luxembourg,individual_country,603567.0,297128.0,2.0313366629869956,0.8035456031870074,0.7118153515123649,24,1.9516463320906805,11554.0,False
UA,Ukraine,individual_country,586105.0,261552.0,2.2408737077139538,0.7802979549178815,0.6912215820251183,25,-6.05198914501788,-37756.0,False
FI,Finland,individual_country,579774.0,265234.0,2.185896227482148,0.7718693178091977,0.6837551317546019,26,5.259775273555155,28971.0,False
IE,Ireland,individual_country,569915.0,235699.0,2.4179780143318386,0.7587437557724716,0.6721279428086184,27,3.8128685223404006,20932.0,False
HR,Croatia,individual_country,551277.0,165545.0,3.3300733939412246,0.7339304658606648,0.6501472604295496,28,-3.9841366049408524,-22875.0,False
EL,Greece,individual_country,548076.0,198839.0,2.7563807904887874,0.7296688851648984,0.6463721684510433,29,14.672725903236335,70128.0,False
PT,Portugal,individual_country,540389.0,209928.0,2.5741635227316033,0.719434967386593,0.6373065227032215,30,-0.2653983651608355,-1438.0,False
BG,Bulgaria,individual_country,511086.0,147766.0,3.4587523516911873,0.6804230651285356,0.6027480971342841,31,10.654135191836787,49209.0,False
KR,South Korea,individual_country,494003.0,236609.0,2.0878453482327384,0.6576799901439131,0.5826013004242492,32,-0.907075873827792,-4522.0,False
SI,Slovenia,individual_country,452805.0,145735.0,3.1070436065461284,0.6028319421888421,0.5340145339979759,33,-4.675240467103006,-22208.0,False
LT,Lithuania,individual_country,378536.0,146498.0,2.5838987562970144,0.5039555483450835,0.4464255598799877,34,2.9108634718850332,10707.0,False
RU,Russia,individual_country,278273.0,107706.0,2.583635080682599,0.3704726163551985,0.3281806217228581,35,-21.017869915191696,-74051.0,False
LV,Latvia,individual_country,222516.0,91079.0,2.443109827731969,0.29624176510438793,0.2624237321741006,36,4.217581295577277,9005.0,False
