partner_code,partner,year,BAL,CRE,DEB,calculated_balance,balance_difference
EU27_2020,EU27,2021,-20744.0,13317.0,34061.0,-20744.0,0.0
EU27_2020,EU27,2022,-40201.0,20539.0,60740.0,-40201.0,0.0
EU27_2020,EU27,2023,-50469.0,23223.0,73692.0,-50469.0,0.0
EU27_2020,EU27,2024,-46376.0,24860.0,71236.0,-46376.0,0.0
EU27_2020,EU27,2025,-49791.0,25711.0,75502.0,-49791.0,0.0
EXT_EU27_2020,Extra-EU27,2021,-3556.0,5510.0,9065.0,-3555.0,-1.0
EXT_EU27_2020,Extra-EU27,2022,-14561.0,9718.0,24279.0,-14561.0,0.0
EXT_EU27_2020,Extra-EU27,2023,-21181.0,11769.0,32950.0,-21181.0,0.0
EXT_EU27_2020,Extra-EU27,2024,-23391.0,12195.0,35586.0,-23391.0,0.0
EXT_EU27_2020,Extra-EU27,2025,-27031.0,12061.0,39092.0,-27031.0,0.0
