country_code,country,period,foreign_nights,status,year,month
AT,Austria,2021-01,148315.0,,2021,1
AT,Austria,2021-02,172759.0,,2021,2
AT,Austria,2021-03,207381.0,,2021,3
AT,Austria,2021-04,200806.0,,2021,4
AT,Austria,2021-05,994223.0,,2021,5
AT,Austria,2021-06,3166335.0,,2021,6
AT,Austria,2021-07,7891186.0,,2021,7
AT,Austria,2021-08,11484510.0,,2021,8
AT,Austria,2021-09,6426122.0,,2021,9
AT,Austria,2021-10,4165235.0,,2021,10
AT,Austria,2021-11,1533778.0,,2021,11
AT,Austria,2021-12,3643624.0,,2021,12
AT,Austria,2022-01,6090845.0,,2022,1
AT,Austria,2022-02,7735795.0,,2022,2
AT,Austria,2022-03,7588741.0,,2022,3
AT,Austria,2022-04,4309040.0,,2022,4
AT,Austria,2022-05,3460216.0,,2022,5
AT,Austria,2022-06,6647362.0,,2022,6
AT,Austria,2022-07,10486990.0,,2022,7
AT,Austria,2022-08,12311107.0,,2022,8
AT,Austria,2022-09,6778047.0,,2022,9
AT,Austria,2022-10,4649235.0,,2022,10
AT,Austria,2022-11,2495853.0,,2022,11
AT,Austria,2022-12,6916979.0,,2022,12
AT,Austria,2023-01,9708931.0,,2023,1
AT,Austria,2023-02,10750242.0,,2023,2
AT,Austria,2023-03,8157242.0,,2023,3
AT,Austria,2023-04,4860010.0,,2023,4
AT,Austria,2023-05,4392966.0,,2023,5
AT,Austria,2023-06,7249261.0,,2023,6
AT,Austria,2023-07,11263618.0,,2023,7
AT,Austria,2023-08,12292324.0,,2023,8
AT,Austria,2023-09,7278821.0,,2023,9
AT,Austria,2023-10,4953698.0,,2023,10
AT,Austria,2023-11,2705888.0,,2023,11
AT,Austria,2023-12,7410500.0,,2023,12
AT,Austria,2024-01,10070604.0,,2024,1
AT,Austria,2024-02,11524238.0,,2024,2
AT,Austria,2024-03,8910281.0,,2024,3
AT,Austria,2024-04,3731533.0,,2024,4
AT,Austria,2024-05,5311246.0,,2024,5
AT,Austria,2024-06,6749473.0,,2024,6
AT,Austria,2024-07,11349081.0,,2024,7
AT,Austria,2024-08,12870702.0,,2024,8
AT,Austria,2024-09,6870781.0,,2024,9
AT,Austria,2024-10,5304196.0,,2024,10
AT,Austria,2024-11,2910919.0,,2024,11
