destination_code,destination,source_market_code,source_market,year,foreign_nights,status
DE,Germany,EUR,Europe,2021,261386681.0,
DE,Germany,EUR,Europe,2022,386328715.0,
DE,Germany,EUR,Europe,2023,412829070.0,
DE,Germany,EUR,Europe,2024,419240031.0,
DE,Germany,EUR,Europe,2025,,
DE,Germany,BE,Belgium,2021,1394320.0,
DE,Germany,BE,Belgium,2022,2617268.0,
DE,Germany,BE,Belgium,2023,2939910.0,
DE,Germany,BE,Belgium,2024,3044527.0,
DE,Germany,BE,Belgium,2025,,
DE,Germany,BG,Bulgaria,2021,275345.0,
DE,Germany,BG,Bulgaria,2022,400930.0,
DE,Germany,BG,Bulgaria,2023,461877.0,
DE,Germany,BG,Bulgaria,2024,511086.0,
DE,Germany,BG,Bulgaria,2025,,
DE,Germany,CZ,Czechia,2021,672391.0,
DE,Germany,CZ,Czechia,2022,1197873.0,
DE,Germany,CZ,Czechia,2023,1408669.0,
DE,Germany,CZ,Czechia,2024,1452153.0,
DE,Germany,CZ,Czechia,2025,,
DE,Germany,DK,Denmark,2021,1505115.0,
DE,Germany,DK,Denmark,2022,2743925.0,
DE,Germany,DK,Denmark,2023,2995582.0,
DE,Germany,DK,Denmark,2024,3051481.0,
DE,Germany,DK,Denmark,2025,,
DE,Germany,DE,Germany,2021,235371154.0,
DE,Germany,DE,Germany,2022,332792753.0,
DE,Germany,DE,Germany,2023,351060606.0,
DE,Germany,DE,Germany,2024,354827032.0,
DE,Germany,DE,Germany,2025,,
DE,Germany,EE,Estonia,2021,58860.0,
DE,Germany,EE,Estonia,2022,126223.0,
DE,Germany,EE,Estonia,2023,152132.0,
DE,Germany,EE,Estonia,2024,162994.0,
DE,Germany,EE,Estonia,2025,,
DE,Germany,IE,Ireland,2021,154150.0,
DE,Germany,IE,Ireland,2022,488173.0,
DE,Germany,IE,Ireland,2023,548983.0,
DE,Germany,IE,Ireland,2024,569915.0,
DE,Germany,IE,Ireland,2025,,
DE,Germany,EL,Greece,2021,203340.0,
DE,Germany,EL,Greece,2022,390539.0,
DE,Germany,EL,Greece,2023,477948.0,
DE,Germany,EL,Greece,2024,548076.0,
DE,Germany,EL,Greece,2025,,
DE,Germany,ES,Spain,2021,940161.0,
DE,Germany,ES,Spain,2022,2217354.0,
DE,Germany,ES,Spain,2023,2527064.0,
DE,Germany,ES,Spain,2024,2720461.0,
DE,Germany,ES,Spain,2025,,
DE,Germany,FR,France,2021,1429958.0,
DE,Germany,FR,France,2022,3036698.0,
DE,Germany,FR,France,2023,3510536.0,
DE,Germany,FR,France,2024,3680328.0,
DE,Germany,FR,France,2025,,
DE,Germany,HR,Croatia,2021,387479.0,
DE,Germany,HR,Croatia,2022,505266.0,
DE,Germany,HR,Croatia,2023,574152.0,
DE,Germany,HR,Croatia,2024,551277.0,
DE,Germany,HR,Croatia,2025,,
DE,Germany,IT,Italy,2021,1221779.0,
DE,Germany,IT,Italy,2022,2847118.0,
DE,Germany,IT,Italy,2023,3343672.0,
DE,Germany,IT,Italy,2024,3497676.0,
DE,Germany,IT,Italy,2025,,
DE,Germany,CY,Cyprus,2021,28120.0,
DE,Germany,CY,Cyprus,2022,64979.0,
DE,Germany,CY,Cyprus,2023,80396.0,
DE,Germany,CY,Cyprus,2024,92691.0,
DE,Germany,CY,Cyprus,2025,,
DE,Germany,LV,Latvia,2021,98869.0,
DE,Germany,LV,Latvia,2022,178599.0,
DE,Germany,LV,Latvia,2023,213511.0,
DE,Germany,LV,Latvia,2024,222516.0,
DE,Germany,LV,Latvia,2025,,
DE,Germany,LT,Lithuania,2021,165621.0,
DE,Germany,LT,Lithuania,2022,300391.0,
DE,Germany,LT,Lithuania,2023,367829.0,
DE,Germany,LT,Lithuania,2024,378536.0,
DE,Germany,LT,Lithuania,2025,,
DE,Germany,LU,Luxembourg,2021,283169.0,
DE,Germany,LU,Luxembourg,2022,523645.0,
DE,Germany,LU,Luxembourg,2023,592013.0,
DE,Germany,LU,Luxembourg,2024,603567.0,
DE,Germany,LU,Luxembourg,2025,,
DE,Germany,HU,Hungary,2021,340784.0,
DE,Germany,HU,Hungary,2022,597914.0,
DE,Germany,HU,Hungary,2023,728688.0,
DE,Germany,HU,Hungary,2024,813454.0,
DE,Germany,HU,Hungary,2025,,
DE,Germany,MT,Malta,2021,22447.0,
DE,Germany,MT,Malta,2022,56576.0,
DE,Germany,MT,Malta,2023,67334.0,
DE,Germany,MT,Malta,2024,75380.0,
DE,Germany,MT,Malta,2025,,
DE,Germany,NL,Netherlands,2021,4696785.0,
DE,Germany,NL,Netherlands,2022,10245068.0,
DE,Germany,NL,Netherlands,2023,11448626.0,
DE,Germany,NL,Netherlands,2024,11867612.0,
DE,Germany,NL,Netherlands,2025,,
DE,Germany,AT,Austria,2021,1899897.0,
DE,Germany,AT,Austria,2022,3586082.0,
DE,Germany,AT,Austria,2023,4155633.0,
DE,Germany,AT,Austria,2024,4360393.0,
DE,Germany,AT,Austria,2025,,
DE,Germany,PL,Poland,2021,2555071.0,
DE,Germany,PL,Poland,2022,3617795.0,
DE,Germany,PL,Poland,2023,4160614.0,
DE,Germany,PL,Poland,2024,4167089.0,
DE,Germany,PL,Poland,2025,,
DE,Germany,PT,Portugal,2021,222742.0,
DE,Germany,PT,Portugal,2022,472741.0,
DE,Germany,PT,Portugal,2023,541827.0,
DE,Germany,PT,Portugal,2024,540389.0,
DE,Germany,PT,Portugal,2025,,
DE,Germany,RO,Romania,2021,899982.0,
DE,Germany,RO,Romania,2022,1208600.0,
DE,Germany,RO,Romania,2023,1365317.0,
DE,Germany,RO,Romania,2024,1392200.0,
DE,Germany,RO,Romania,2025,,
DE,Germany,SI,Slovenia,2021,327095.0,
DE,Germany,SI,Slovenia,2022,425148.0,
DE,Germany,SI,Slovenia,2023,475013.0,
DE,Germany,SI,Slovenia,2024,452805.0,
DE,Germany,SI,Slovenia,2025,,
DE,Germany,SK,Slovakia,2021,420752.0,
DE,Germany,SK,Slovakia,2022,618758.0,
DE,Germany,SK,Slovakia,2023,659272.0,
DE,Germany,SK,Slovakia,2024,644874.0,
DE,Germany,SK,Slovakia,2025,,
DE,Germany,FI,Finland,2021,155349.0,
DE,Germany,FI,Finland,2022,489539.0,
DE,Germany,FI,Finland,2023,550803.0,
DE,Germany,FI,Finland,2024,579774.0,
DE,Germany,FI,Finland,2025,,
DE,Germany,SE,Sweden,2021,451486.0,
DE,Germany,SE,Sweden,2022,1291021.0,
DE,Germany,SE,Sweden,2023,1439289.0,
DE,Germany,SE,Sweden,2024,1483871.0,
DE,Germany,SE,Sweden,2025,,
DE,Germany,INT_EU27_2020,Intra-EU27 (from 2020),2021,256182221.0,
DE,Germany,INT_EU27_2020,Intra-EU27 (from 2020),2022,373040976.0,
DE,Germany,INT_EU27_2020,Intra-EU27 (from 2020),2023,396847296.0,
DE,Germany,INT_EU27_2020,Intra-EU27 (from 2020),2024,402292157.0,
DE,Germany,INT_EU27_2020,Intra-EU27 (from 2020),2025,,
DE,Germany,INT_EU28,Intra-EU28 (2013-2020),2021,257076087.0,
DE,Germany,INT_EU28,Intra-EU28 (2013-2020),2022,376565656.0,
DE,Germany,INT_EU28,Intra-EU28 (2013-2020),2023,401603822.0,
DE,Germany,INT_EU28,Intra-EU28 (2013-2020),2024,407566198.0,
DE,Germany,INT_EU28,Intra-EU28 (2013-2020),2025,,
DE,Germany,INT_EU27_2007,Intra-EU27 (2007-2013),2021,,
DE,Germany,INT_EU27_2007,Intra-EU27 (2007-2013),2022,,
DE,Germany,INT_EU27_2007,Intra-EU27 (2007-2013),2023,,
DE,Germany,INT_EU27_2007,Intra-EU27 (2007-2013),2024,,
DE,Germany,INT_EU27_2007,Intra-EU27 (2007-2013),2025,,
DE,Germany,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,2021,20811067.0,
DE,Germany,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,2022,40248223.0,
DE,Germany,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,2023,45786690.0,
DE,Germany,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,2024,47465125.0,
DE,Germany,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,2025,,
DE,Germany,EFTA,European Free Trade Association,2021,2836461.0,
DE,Germany,EFTA,European Free Trade Association,2022,6530635.0,
DE,Germany,EFTA,European Free Trade Association,2023,7520017.0,
DE,Germany,EFTA,European Free Trade Association,2024,7725023.0,
DE,Germany,EFTA,European Free Trade Association,2025,,
DE,Germany,IS,Iceland,2021,36683.0,
DE,Germany,IS,Iceland,2022,101074.0,
DE,Germany,IS,Iceland,2023,99236.0,
DE,Germany,IS,Iceland,2024,110535.0,
DE,Germany,IS,Iceland,2025,,
DE,Germany,CH_LI,Switzerland and Liechtenstein,2021,2630002.0,
DE,Germany,CH_LI,Switzerland and Liechtenstein,2022,5787949.0,
DE,Germany,CH_LI,Switzerland and Liechtenstein,2023,6734506.0,
DE,Germany,CH_LI,Switzerland and Liechtenstein,2024,6897129.0,
DE,Germany,CH_LI,Switzerland and Liechtenstein,2025,,
DE,Germany,NO,Norway,2021,169776.0,
DE,Germany,NO,Norway,2022,641612.0,
DE,Germany,NO,Norway,2023,686275.0,
DE,Germany,NO,Norway,2024,717359.0,
DE,Germany,NO,Norway,2025,,
DE,Germany,UK,United Kingdom,2021,893866.0,
DE,Germany,UK,United Kingdom,2022,3524680.0,
DE,Germany,UK,United Kingdom,2023,4756526.0,
DE,Germany,UK,United Kingdom,2024,5274041.0,
DE,Germany,UK,United Kingdom,2025,,
DE,Germany,TR,Türkiye,2021,284945.0,
DE,Germany,TR,Türkiye,2022,746525.0,
DE,Germany,TR,Türkiye,2023,1039403.0,
DE,Germany,TR,Türkiye,2024,1225934.0,
DE,Germany,TR,Türkiye,2025,,
DE,Germany,UA,Ukraine,2021,256889.0,
DE,Germany,UA,Ukraine,2022,703358.0,
DE,Germany,UA,Ukraine,2023,623861.0,
DE,Germany,UA,Ukraine,2024,586105.0,
DE,Germany,UA,Ukraine,2025,,
DE,Germany,RU,Russia,2021,263488.0,
DE,Germany,RU,Russia,2022,431882.0,
DE,Germany,RU,Russia,2023,352324.0,
DE,Germany,RU,Russia,2024,278273.0,
DE,Germany,RU,Russia,2025,,
DE,Germany,EUR_OTH,Other European countries (aggregate changing according to the context),2021,668811.0,
DE,Germany,EUR_OTH,Other European countries (aggregate changing according to the context),2022,1350659.0,
DE,Germany,EUR_OTH,Other European countries (aggregate changing according to the context),2023,1689643.0,
DE,Germany,EUR_OTH,Other European countries (aggregate changing according to the context),2024,1858498.0,
DE,Germany,EUR_OTH,Other European countries (aggregate changing according to the context),2025,,
DE,Germany,AFR,Africa,2021,218440.0,
DE,Germany,AFR,Africa,2022,593664.0,
DE,Germany,AFR,Africa,2023,677401.0,
DE,Germany,AFR,Africa,2024,700969.0,
DE,Germany,AFR,Africa,2025,,
DE,Germany,ZA,South Africa,2021,28146.0,
DE,Germany,ZA,South Africa,2022,126265.0,
DE,Germany,ZA,South Africa,2023,144177.0,
DE,Germany,ZA,South Africa,2024,143911.0,
DE,Germany,ZA,South Africa,2025,,
DE,Germany,AFR_OTH,Other African countries (aggregate changing according to the context),2021,190294.0,
DE,Germany,AFR_OTH,Other African countries (aggregate changing according to the context),2022,467399.0,
DE,Germany,AFR_OTH,Other African countries (aggregate changing according to the context),2023,533224.0,
DE,Germany,AFR_OTH,Other African countries (aggregate changing according to the context),2024,557058.0,
DE,Germany,AFR_OTH,Other African countries (aggregate changing according to the context),2025,,
DE,Germany,AME,America,2021,2288314.0,
DE,Germany,AME,America,2022,7210849.0,
DE,Germany,AME,America,2023,8833581.0,
DE,Germany,AME,America,2024,9743906.0,
DE,Germany,AME,America,2025,,
DE,Germany,AME_N,Northern America,2021,1951423.0,
DE,Germany,AME_N,Northern America,2022,5896523.0,
DE,Germany,AME_N,Northern America,2023,7236318.0,
DE,Germany,AME_N,Northern America,2024,8005266.0,
DE,Germany,AME_N,Northern America,2025,,
DE,Germany,CA,Canada,2021,138122.0,
DE,Germany,CA,Canada,2022,483332.0,
DE,Germany,CA,Canada,2023,641222.0,
DE,Germany,CA,Canada,2024,703139.0,
DE,Germany,CA,Canada,2025,,
DE,Germany,US,United States,2021,1801032.0,
DE,Germany,US,United States,2022,5359247.0,
DE,Germany,US,United States,2023,6522612.0,
DE,Germany,US,United States,2024,7223819.0,
DE,Germany,US,United States,2025,,
DE,Germany,AME_N_OTH,Other Northern American countries,2021,12269.0,
DE,Germany,AME_N_OTH,Other Northern American countries,2022,53944.0,
DE,Germany,AME_N_OTH,Other Northern American countries,2023,72484.0,
DE,Germany,AME_N_OTH,Other Northern American countries,2024,78308.0,
DE,Germany,AME_N_OTH,Other Northern American countries,2025,,
DE,Germany,AME_C_S,Central and South America,2021,336891.0,
DE,Germany,AME_C_S,Central and South America,2022,1314326.0,
DE,Germany,AME_C_S,Central and South America,2023,1597263.0,
DE,Germany,AME_C_S,Central and South America,2024,1738640.0,
DE,Germany,AME_C_S,Central and South America,2025,,
DE,Germany,BR,Brazil,2021,99442.0,
DE,Germany,BR,Brazil,2022,494149.0,
DE,Germany,BR,Brazil,2023,606200.0,
DE,Germany,BR,Brazil,2024,661214.0,
DE,Germany,BR,Brazil,2025,,
DE,Germany,AME_C_S_OTH,Other Central or South American countries,2021,237449.0,
DE,Germany,AME_C_S_OTH,Other Central or South American countries,2022,820177.0,
DE,Germany,AME_C_S_OTH,Other Central or South American countries,2023,991063.0,
DE,Germany,AME_C_S_OTH,Other Central or South American countries,2024,1077426.0,
DE,Germany,AME_C_S_OTH,Other Central or South American countries,2025,,
DE,Germany,ASI,Asia,2021,1764726.0,
DE,Germany,ASI,Asia,2022,4968793.0,
DE,Germany,ASI,Asia,2023,7081777.0,
DE,Germany,ASI,Asia,2024,7714220.0,
DE,Germany,ASI,Asia,2025,,
DE,Germany,CN,China,2021,161583.0,
DE,Germany,CN,China,2022,442418.0,
DE,Germany,CN,China,2023,1298292.0,
DE,Germany,CN,China,2024,1824786.0,
DE,Germany,CN,China,2025,,
DE,Germany,JP,Japan,2021,95979.0,
DE,Germany,JP,Japan,2022,336754.0,
DE,Germany,JP,Japan,2023,623685.0,
DE,Germany,JP,Japan,2024,695906.0,
DE,Germany,JP,Japan,2025,,
DE,Germany,KR,South Korea,2021,83605.0,
DE,Germany,KR,South Korea,2022,318986.0,
DE,Germany,KR,South Korea,2023,498525.0,
DE,Germany,KR,South Korea,2024,494003.0,
DE,Germany,KR,South Korea,2025,,
DE,Germany,ASI_OTH,Other Asian countries (aggregate changing according to the context),2021,1423559.0,
DE,Germany,ASI_OTH,Other Asian countries (aggregate changing according to the context),2022,3870635.0,
DE,Germany,ASI_OTH,Other Asian countries (aggregate changing according to the context),2023,4661275.0,
DE,Germany,ASI_OTH,Other Asian countries (aggregate changing according to the context),2024,4699525.0,
DE,Germany,ASI_OTH,Other Asian countries (aggregate changing according to the context),2025,,
DE,Germany,OCE,Oceania,2021,75226.0,
DE,Germany,OCE,Oceania,2022,527969.0,
DE,Germany,OCE,Oceania,2023,955334.0,
DE,Germany,OCE,Oceania,2024,953498.0,
DE,Germany,OCE,Oceania,2025,,
DE,Germany,AU,Australia,2021,45468.0,
DE,Germany,AU,Australia,2022,451187.0,
DE,Germany,AU,Australia,2023,821361.0,
DE,Germany,AU,Australia,2024,811695.0,
DE,Germany,AU,Australia,2025,,
DE,Germany,OCE_OTH,Other Oceanian countries (aggregate changing according to the context),2021,29758.0,
DE,Germany,OCE_OTH,Other Oceanian countries (aggregate changing according to the context),2022,76782.0,
DE,Germany,OCE_OTH,Other Oceanian countries (aggregate changing according to the context),2023,133973.0,
DE,Germany,OCE_OTH,Other Oceanian countries (aggregate changing according to the context),2024,141803.0,
DE,Germany,OCE_OTH,Other Oceanian countries (aggregate changing according to the context),2025,,
DE,Germany,DOM,Domestic country,2021,235371154.0,
DE,Germany,DOM,Domestic country,2022,332792753.0,
DE,Germany,DOM,Domestic country,2023,351060606.0,
DE,Germany,DOM,Domestic country,2024,354827032.0,
DE,Germany,DOM,Domestic country,2025,,
DE,Germany,WORLD,All countries of the world,2021,266102654.0,
DE,Germany,WORLD,All countries of the world,2022,400409055.0,
DE,Germany,WORLD,All countries of the world,2023,431439035.0,
DE,Germany,WORLD,All countries of the world,2024,439619668.0,
DE,Germany,WORLD,All countries of the world,2025,,
DE,Germany,WRL_NAL,World - not allocated,2021,369267.0,
DE,Germany,WRL_NAL,World - not allocated,2022,779065.0,
DE,Germany,WRL_NAL,World - not allocated,2023,1061872.0,
DE,Germany,WRL_NAL,World - not allocated,2024,1267044.0,
DE,Germany,WRL_NAL,World - not allocated,2025,,
