month,indicator,change_pct,month_name,period
1,Foreign Arrivals,3.739578323018885,January,2026 vs 2025
2,Foreign Arrivals,4.16586804546134,February,2026 vs 2025
3,Foreign Arrivals,2.0421742290484,March,2026 vs 2025
4,Foreign Arrivals,1.2512445173963351,April,2026 vs 2025
5,Foreign Arrivals,0.7330394326731983,May,2026 vs 2025
6,Foreign Arrivals,1.67640579155227,June,2026 vs 2025
1,Foreign Nights,0.8246865201175423,January,2026 vs 2025
2,Foreign Nights,2.595516389029467,February,2026 vs 2025
3,Foreign Nights,-0.4459273570753878,March,2026 vs 2025
4,Foreign Nights,0.6098260359202818,April,2026 vs 2025
5,Foreign Nights,-0.5089820039269212,May,2026 vs 2025
6,Foreign Nights,1.6303623281162944,June,2026 vs 2025
1,Average Length of Stay,-2.809816513640615,January,2026 vs 2025
2,Average Length of Stay,-1.5075491481974987,February,2026 vs 2025
3,Average Length of Stay,-2.4383071067643822,March,2026 vs 2025
4,Average Length of Stay,-0.6334919482059646,April,2026 vs 2025
5,Average Length of Stay,-1.2329831836656149,May,2026 vs 2025
6,Average Length of Stay,-0.0452843145639557,June,2026 vs 2025
