country_code,country,avg_length_of_stay,los_rank,year,germany_flag
IE,Ireland,5.7929556113731495,1,2024,Other EU27
CY,Cyprus,5.464677949455491,2,2024,Other EU27
BG,Bulgaria,5.029392029215677,3,2024,Other EU27
HR,Croatia,4.888925578305743,4,2024,Other EU27
EL,Greece,4.682105827526892,5,2024,Other EU27
MT,Malta,4.654178939940246,6,2024,Other EU27
DK,Denmark,4.373965579317189,7,2024,Other EU27
ES,Spain,4.149107581074635,8,2024,Other EU27
IT,Italy,3.4339960745242433,9,2024,Other EU27
AT,Austria,3.298723591408753,10,2024,Other EU27
PT,Portugal,3.0867549305656525,11,2024,Other EU27
NL,Netherlands,2.894230085624174,12,2024,Other EU27
FR,France,2.577033496751597,13,2024,Other EU27
HU,Hungary,2.4900830133821747,14,2024,Other EU27
SI,Slovenia,2.444777521964026,15,2024,Other EU27
CZ,Czechia,2.4313092744777203,16,2024,Other EU27
LU,Luxembourg,2.36327062328324,17,2024,Other EU27
PL,Poland,2.3353421324159247,18,2024,Other EU27
SK,Slovakia,2.3321280283406978,19,2024,Other EU27
BE,Belgium,2.31156430146043,20,2024,Other EU27
DE,Germany,2.265983203170065,21,2024,Germany
FI,Finland,2.1930832380611305,22,2024,Other EU27
LT,Lithuania,2.14082793440125,23,2024,Other EU27
RO,Romania,2.069736052034833,24,2024,Other EU27
SE,Sweden,2.03879151252255,25,2024,Other EU27
EE,Estonia,1.977277860644086,26,2024,Other EU27
LV,Latvia,1.7901513270890486,27,2024,Other EU27
